Nx,Ny,shift,p_x,p_left,p_diag,x_length,left_length,diag_length,left_over_diag,triangle_slack
32,40,16,32,80,160,1.0,0.4,0.2,2.0,-0.3999999999999999
32,40,17,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,18,32,640,640,1.0,0.05,0.05,1.0,-0.9
32,40,19,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,20,32,320,320,1.0,0.1,0.1,1.0,-0.8
32,40,21,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,22,32,640,640,1.0,0.05,0.05,1.0,-0.9
32,40,23,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,24,32,160,40,1.0,0.2,0.8,0.25,0.0
32,40,25,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,26,32,640,640,1.0,0.05,0.05,1.0,-0.9
32,40,27,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,28,32,320,320,1.0,0.1,0.1,1.0,-0.8
32,40,29,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,30,32,640,640,1.0,0.05,0.05,1.0,-0.9
32,40,31,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,32,32,40,160,1.0,0.8,0.2,4.0,0.0
32,41,0,32,41,1312,1.0,0.7804878048780488,0.024390243902439025,32.0,-0.19512195121951215
32,41,1,32,1312,656,1.0,0.024390243902439025,0.04878048780487805,0.5,-0.9268292682926829
