# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
222 6 -1 3.0420273437500001e-01 1.4585335435433056e-03 3.0420053506282807e-01 1.4589513601304079e-03
223 6 0 2.9378554687500003e-01 1.5126911526482099e-03 2.9378334756282809e-01 1.5130817805645109e-03
224 7 -31 2.6420937500000002e-01 1.6912662625384511e-03 2.6420717568782809e-01 1.6916509246064206e-03
225 7 -30 2.5461210937500001e-01 1.7537762025100581e-03 2.5460991006282807e-01 1.7541340947792605e-03
226 7 -29 2.4550742187499999e-01 1.8188259966160005e-03 2.4550522256282806e-01 1.8191770822182669e-03
227 7 -28 2.3686835937500000e-01 1.8812844199079140e-03 2.3686616006282807e-01 1.8816019937007767e-03
228 7 -27 2.2907109375000001e-01 1.9400201679085941e-03 2.2906889443782807e-01 1.9403525385822652e-03
229 7 -26 2.2249570312500000e-01 1.9914648700079928e-03 2.2249350381282806e-01 1.9918043871631954e-03
230 7 -25 2.1703710937500001e-01 2.0374753677657844e-03 2.1703491006282807e-01 2.0378325315806960e-03
231 7 -24 2.1246953125000001e-01 2.0742732525648954e-03 2.1246733193782807e-01 2.0746296258118743e-03
232 7 -23 2.0892343750000000e-01 2.1059602556526731e-03 2.0892123818782807e-01 2.1063251850534457e-03
233 7 -22 2.0629960937500000e-01 2.1260334755351501e-03 2.0629741006282806e-01 2.1264113224719202e-03
234 7 -21 2.0484179687500001e-01 2.1423383382478903e-03 2.0483959756282807e-01 2.1427159671435921e-03
235 7 -20 2.0390898437499999e-01 2.1475542998229094e-03 2.0390678506282806e-01 2.1479500063815741e-03
236 7 -19 2.0425039062500000e-01 2.1435051686300470e-03 2.0424819131282806e-01 2.1438937695110109e-03
237 7 -18 2.0525273437500000e-01 2.1353420503188105e-03 2.0525053506282806e-01 2.1357358693086131e-03
238 7 -17 2.0688281250000001e-01 2.1154110527552656e-03 2.0688061318782808e-01 2.1158046682236858e-03
239 7 -16 2.0957226562500000e-01 2.0947848821827649e-03 2.0957006631282807e-01 2.0951848704837627e-03
240 7 -15 2.1267265625000001e-01 2.0687144799484383e-03 2.1267045693782807e-01 2.0691195976053119e-03
241 7 -14 2.1760937499999999e-01 2.0329444314893209e-03 2.1760717568782806e-01 2.0333614723742782e-03
242 7 -13 2.2301445312500001e-01 1.9856576083398625e-03 2.2301225381282808e-01 1.9860585818125111e-03
243 7 -12 2.2950039062499999e-01 1.9381018492486183e-03 2.2949819131282806e-01 1.9385132825264822e-03
244 7 -11 2.3661835937500000e-01 1.8859384221555262e-03 2.3661616006282807e-01 1.8863836693888978e-03
245 7 -10 2.4516523437500001e-01 1.8236805778651035e-03 2.4516303506282808e-01 1.8241634971472114e-03
246 7 -9 2.5358281249999998e-01 1.7607269867098978e-03 2.5358061318782804e-01 1.7611872785933502e-03
247 7 -8 2.6305312500000000e-01 1.6960032027592202e-03 2.6305092568782806e-01 1.6964452956661491e-03
248 7 -7 2.7295390624999999e-01 1.6331089338981731e-03 2.7295170693782805e-01 1.6335521187494681e-03
249 7 -6 2.8174843750000000e-01 1.5801820395372717e-03 2.8174623818782807e-01 1.5806445575036253e-03
250 7 -5 2.8820585937499998e-01 1.5429807196479951e-03 2.8820366006282805e-01 1.5434609721343866e-03
