lx,ly,theta_deg,lr,err_x,err_y,err_y_minus_x,err_total
1.0,0.2,55.0,0.9003162918994533,0.0,0.2541298444075467,0.23251810857353547,0.1622159843270274
1.0,0.2,56.0,0.903505859755044,0.0,0.2541298444075467,0.23238520064645923,0.16217168168466864
1.0,0.2,57.0,0.9067217798167138,0.0,0.2541298444075467,0.2322503351038663,0.16212672650380433
1.0,0.2,58.0,0.9099627983092046,0.0,0.2541298444075467,0.2321135522880113,0.1620811322318527
1.0,0.2,59.0,0.9132276660482743,0.0,0.2541298444075467,0.231974893864207,0.16203491275725124
1.0,0.2,60.0,0.916515138991168,0.0,0.2541298444075467,0.23183440278674355,0.16198808239809676
1.0,0.2,61.0,0.9198239787597762,0.0,0.2541298444075467,0.2316921232628363,0.16194065589012765
1.0,0.2,62.0,0.9231529531370432,0.0,0.2541298444075467,0.23154810071476054,0.16189264837410242
1.0,0.2,63.0,0.9265008365372269,0.0,0.2541298444075467,0.2314023817403325,0.1618440753826264
1.0,0.2,64.0,0.9298664104506459,0.0,0.2541298444075467,0.23125501407189358,0.1617949528264801
1.0,0.2,65.0,0.9332484638635739,0.0,0.2541298444075467,0.23110604653395103,0.16174529698049925
1.0,0.2,66.0,0.9366457936539725,0.0,0.2541298444075467,0.23095552899962915,0.16169512446905862
1.0,0.2,67.0,0.9400572049637674,0.0,0.2541298444075467,0.23080351234607763,0.16164445225120813
1.0,0.2,68.0,0.9434815115483902,0.0,0.2541298444075467,0.2306500484089834,0.16159329760551003
1.0,0.2,69.0,0.9469175361043219,0.0,0.2541298444075467,0.23049518993632545,0.16154167811462405
1.0,0.2,70.0,0.9503641105753796,0.0,0.2541298444075467,0.2303389905415102,0.16148961164968564
1.0,0.2,71.0,0.9538200764384954,0.0,0.2541298444075467,0.23018150465601742,0.16143711635452138
1.0,0.2,72.0,0.9572842849697373,0.0,0.2541298444075467,0.23002278748168492,0.16138421062974387
1.0,0.2,73.0,0.9607555974913211,0.0,0.2541298444075467,0.2298628949427517,0.16133091311676614
1.0,0.2,74.0,0.9642328856003618,0.0,0.2541298444075467,0.2297018836377758,0.16127724268177415
1.0,0.2,75.0,0.967715031380102,0.0,0.2541298444075467,0.22953981079153798,0.1612232183996949
1.0,0.2,76.0,0.9712009275943536,0.0,0.2541298444075467,0.22937673420703478,0.16116885953819382
1.0,0.2,77.0,0.974689477865876,0.0,0.2541298444075467,0.22921271221766054,0.16111418554173576
1.0,0.2,78.0,0.9781795968394026,0.0,0.2541298444075467,0.22904780363967164,0.16105921601573944
1.0,0.2,79.0,0.9816702103300181,0.0,0.2541298444075467,0.22888206772502095,0.1610039707108559
1.0,0.2,80.0,0.9851602554575717,0.0,0.2541298444075467,0.22871556411464333,0.1609484695073967
1.0,0.2,81.0,0.9886486807677981,0.0,0.2541298444075467,0.2285483527922702,0.16089273239993898
1.0,0.2,82.0,0.992134446340804,0.0,0.2541298444075467,0.22838049403884267,0.1608367794821298
1.0,0.2,83.0,0.9956165238875564,0.0,0.2541298444075467,0.22821204838758954,0.1607806309317121
1.0,0.2,84.0,0.9990938968349965,0.0,0.2541298444075467,0.22804307657982986,0.16072430699579218
1.0,0.2,85.0,1.0025655604003842,0.0,0.2541298444075467,0.22787363952155523,0.16066782797636733
1.0,0.2,86.0,1.0060305216554566,0.0,0.2541298444075467,0.22770379824084155,0.16061121421612942
1.0,0.2,87.0,1.009487799580967,0.0,0.2541298444075467,0.2275336138461357,0.1605544860845608
1.0,0.2,88.0,1.0129364251121584,0.0,0.2541298444075467,0.227363147485457,0.16049766396433457
1.0,0.2,89.0,1.016375441175694,0.0,0.2541298444075467,0.2271924603065494,0.16044076823803202
1.0,0.2,90.0,1.019803902718557,0.0,0.2541298444075467,0.2270216134180157,0.16038381927518747
